,name,description,symptoms,treatments
33,menopause,Menopause is a natural biological process that marks the end of a woman's menstrual cycles.,"['Irregular periods', 'Hot flashes', 'Night sweats', 'Sleep problems', 'Mood changes', 'Weight gain and slowed metabolism', 'Thinning hair and dry skin', 'Loss of breast fullness', 'Vaginal dryness', 'Decreased sex drive', 'Pain during sex', 'Urinary incontinence', 'Increased urination or urgency']","['Hormone therapy', 'Low-dose antidepressants', 'Gabapentin', 'Clonidine', 'Vaginal estrogen', 'Vaginal moisturizers and lubricants']"
34,migraine headaches,"Migraine headaches are a type of headache that typically cause intense throbbing pain in one area of the head, often accompanied by nausea, vomiting, and sensitivity to light and sound. They can last for hours or days and can be disabling.","['Throbbing or pulsing pain on one side of the head', 'Sensitivity to light and sound', 'Nausea and vomiting', 'Blurred vision', 'Lightheadedness', 'Fatigue', 'Irritability']","['Pain-relieving medications such as aspirin or ibuprofen', 'Triptans, which are medications specifically designed to treat migraines', 'Preventive medications such as beta blockers or antidepressants', 'Avoiding triggers such as certain foods, stress, and lack of sleep', 'Resting in a quiet, dark room']"
35,multiple sclerosis,"Multiple sclerosis (MS) is a chronic autoimmune disease of the central nervous system that affects the brain, spinal cord, and optic nerves.","['Fatigue', 'Numbness or tingling in the limbs', 'Muscle weakness or spasms', 'Blurred or double vision', 'Difficulty with coordination and balance', 'Problems with speech and swallowing']","['Medications to slow the progression of the disease', 'Physical therapy', 'Occupational therapy', 'Speech therapy', 'Counseling or support groups']"
36,myocardial infarction,"Myocardial infarction (MI), also known as a heart attack, occurs when blood flow to the heart muscle is blocked, usually by a blood clot. This can cause damage to the heart muscle and potentially be life-threatening.","['Chest pain or discomfort', 'Shortness of breath', 'Nausea or vomiting', 'Feeling lightheaded or dizzy', 'Sweating', 'Pain or discomfort in the arms, back, neck, jaw, or stomach']","['Oxygen therapy', 'Aspirin or other antiplatelet medications', 'Thrombolytic therapy or percutaneous coronary intervention (PCI) to restore blood flow', 'Beta blockers, ACE inhibitors, or other medications to prevent future heart attacks', 'Lifestyle changes such as quitting smoking, eating a healthy diet, and getting regular exercise']"
37,osteoarthritis,"Osteoarthritis (OA) is a degenerative joint disease that occurs when the protective cartilage on the ends of bones wears down over time, causing pain, stiffness, and loss of mobility.","['Pain or stiffness in the joints, especially after periods of inactivity or overuse', 'Swelling or tenderness in the affected joints', 'A crunching or popping sensation when moving the joint', 'Limited range of motion', 'Bone spurs']","['Over-the-counter pain relievers such as acetaminophen or nonsteroidal anti-inflammatory drugs (NSAIDs)', 'Prescription medications such as COX-2 inhibitors or corticosteroids', 'Physical therapy or occupational therapy', 'Assistive devices such as braces or canes', 'Lifestyle changes such as losing weight, getting regular exercise, and avoiding activities that exacerbate symptoms']"
38,osteoporosis,"Osteoporosis is a bone disease that occurs when the body loses too much bone, makes too little bone, or both. As a result, bones become weak and may break from a fall or, in serious cases, from sneezing or minor bumps.","['Back pain', 'Loss of height over time', 'A stooped posture', 'A bone that breaks much more easily than expected']","['Calcium and vitamin D supplements', 'Medications such as bisphosphonates, hormone therapy, and denosumab', 'Regular weight-bearing and muscle-strengthening exercise', 'Fall prevention measures, such as removing hazards and improving lighting in the home']"
39,parkinson's disease,"Parkinson's disease is a neurodegenerative disorder that affects movement. It occurs when the brain cells that produce dopamine, a chemical that coordinates movement, die or become impaired. As a result, people with Parkinson's disease may experience tremors, stiffness, slow movement, and difficulty with balance and coordination.","['Tremors or shaking, usually in the hands, arms, or legs', 'Stiffness or rigidity of the limbs and trunk', 'Slow movement (bradykinesia)', 'Impaired balance and coordination']","['Medications that increase dopamine in the brain, such as levodopa, dopamine agonists, and MAO-B inhibitors', 'Deep brain stimulation (DBS), a surgical procedure that involves implanting electrodes in the brain', 'Physical therapy to improve movement and balance', 'Speech therapy to improve voice and communication', 'Occupational therapy to improve daily activities']"
40,peptic ulcer disease,"Peptic ulcer disease is a condition in which painful sores or ulcers develop in the lining of the stomach, small intestine, or esophagus.","['Abdominal pain or discomfort', 'Nausea', 'Vomiting', 'Loss of appetite', 'Bloating', 'Belching', 'Weight loss']","['Antibiotics to kill H. pylori bacteria', 'Proton pump inhibitors to reduce stomach acid', 'Antacids to neutralize stomach acid', 'H2 blockers to reduce acid production', 'Lifestyle changes (e.g., avoiding alcohol and spicy foods)']"
41,pneumonia,"Pneumonia is an infection that inflames the air sacs in one or both lungs, causing coughing, fever, and difficulty breathing.","['Cough (with phlegm or without)', 'Fever', 'Chills', 'Shortness of breath', 'Rapid breathing', 'Chest pain', 'Fatigue', 'Muscle aches', 'Nausea or vomiting']","['Antibiotics to fight the underlying infection', 'Fever reducers (e.g., acetaminophen) to relieve symptoms', 'Cough medicine to reduce coughing', 'Oxygen therapy to help with breathing', 'Fluids and rest']"
42,polycystic kidney disease,"Polycystic kidney disease is an inherited disorder in which clusters of cysts develop within the kidneys, eventually causing kidney failure.","['Pain in the back or side', 'Blood in urine', 'Frequent urination', 'Kidney stones', 'High blood pressure', 'Abdominal swelling', 'Fatigue', 'Joint pain']","['Blood pressure medications to control high blood pressure', 'Antibiotics to treat infections', 'Surgery to remove large cysts or to transplant a new kidney', 'Dialysis to remove waste from the blood if kidneys fail']"
43,polycystic ovary syndrome,"Polycystic ovary syndrome is a hormonal disorder that causes enlarged ovaries with small cysts on the outer edges, leading to infertility and other health problems.","['Irregular periods', 'Heavy bleeding', 'Acne', 'Excess hair growth', 'Weight gain', 'Fatigue', 'Depression or mood swings']","['Birth control pills to regulate periods and decrease androgen levels', 'Anti-androgen medications to reduce excess hair growth and acne', 'Metformin to improve insulin resistance and regulate menstrual cycles', 'Fertility treatments (e.g., in vitro fertilization) for those trying to conceive']"
44,prostate cancer,"Prostate cancer is a type of cancer that develops in the prostate, a gland in the male reproductive system. It usually grows slowly and initially remains confined to the prostate gland, where it may not cause serious harm. However, in some cases, it can spread to other parts of the body and become more aggressive.","['Frequent urination, especially at night', 'Difficulty starting or stopping urination', 'Weak or interrupted urine flow', 'Blood in urine or semen', 'Painful or burning urination', 'Painful ejaculation', 'Difficulty getting or maintaining an erection']","['Watchful waiting', 'Surgery', 'Radiation therapy', 'Cryotherapy', 'Hormone therapy', 'Chemotherapy']"
45,psoriasis,Psoriasis is a chronic skin condition that causes cells to build up rapidly on the surface of the skin. The extra skin cells form scales and red patches that are sometimes itchy and painful.,"['Red patches of skin covered with thick, silvery scales', 'Dry, cracked skin that may bleed', 'Itching or burning sensations']","['Topical creams and ointments', 'Light therapy', 'Oral medications']"
46,pulmonary embolism,"Pulmonary embolism is a blockage in one of the pulmonary arteries in the lungs. The blockage is usually caused by a blood clot that travels to the lungs from another part of the body, most commonly the legs.","['Sudden shortness of breath', 'Chest pain that gets worse with deep breathing or coughing', 'Coughing up blood']","['Blood thinners', 'Clot-dissolving medications', 'Surgery']"
47,rheumatoid arthritis,"Rheumatoid arthritis is an autoimmune disorder that causes the body's immune system to attack the joints. This leads to inflammation and damage to the joints, which can cause pain, stiffness, and swelling.","['Joint pain and stiffness', 'Swelling and tenderness in the joints', 'Fatigue']","['Nonsteroidal anti-inflammatory drugs (NSAIDs)', 'Disease-modifying antirheumatic drugs (DMARDs)', 'Biologic agents']"
48,rosacea,"Rosacea is a chronic skin condition that causes redness, flushing, and sometimes small, red, pus-filled bumps on the face. It most commonly affects the nose, cheeks, forehead, and chin.","['Redness on the cheeks, nose, chin or forehead', 'Small visible blood vessels on the face', 'Bumps or pimples on the face']","['Topical creams and gels', 'Oral antibiotics', 'Laser therapy']"
49,sarcoidosis,"Sarcoidosis is a disease that causes inflammation in different parts of the body, most commonly the lungs, lymph nodes, skin, and eyes. The inflammation can cause damage to these organs and may cause symptoms such as coughing, shortness of breath, and skin rashes.","['Shortness of breath', 'Coughing', 'Skin rashes or lesions']","['Corticosteroids', 'Immunosuppressive medications', 'Biologic agents']"
50,scoliosis,"Scoliosis is a medical condition where the spine curves sideways. This can cause uneven shoulders, hips, or waist and can sometimes lead to discomfort or difficulty breathing.","['Uneven shoulders', 'Uneven hips', 'Uneven waist', 'Back pain', 'Difficulty breathing']","['Bracing', 'Physical therapy', 'Surgery']"
51,sinusitis,"Sinusitis is an inflammation or swelling of the tissue lining the sinuses, which can cause symptoms such as facial pain, pressure, or congestion.","['Facial pain', 'Pressure in the face', 'Congestion', 'Nasal discharge', 'Cough', 'Headache']","['Nasal decongestants', 'Saline nasal irrigation', 'Antibiotics', 'Steroid nasal sprays']"
52,spondylitis,"Spondylitis is a type of arthritis that affects the spine and can cause stiffness, pain, and reduced mobility.","['Stiffness in the back or neck', 'Pain in the back or neck', 'Reduced mobility', 'Fatigue', 'Loss of appetite']","['Exercise', 'Medications', 'Surgery']"
53,stroke,"A stroke occurs when blood flow to the brain is interrupted or reduced, which can cause brain cells to die. This can result in various symptoms, depending on which part of the brain is affected.","['Sudden numbness or weakness in the face, arm, or leg, especially on one side of the body', 'Sudden confusion or trouble speaking or understanding speech', 'Sudden trouble seeing in one or both eyes', 'Sudden trouble walking, dizziness, loss of balance or coordination', 'Sudden severe headache with no known cause']","['Clot-busting drugs', 'Aspirin or other antiplatelet drugs', 'Anticoagulants', 'Surgery']"
54,systemic lupus erythematosus,"Systemic lupus erythematosus (SLE) is an autoimmune disease that can affect various parts of the body, including the skin, joints, kidneys, brain, and other organs.","['Fatigue', 'Fever', 'Joint pain', 'Skin rashes', 'Chest pain', 'Shortness of breath', 'Headaches', 'Confusion', 'Memory loss']","['Nonsteroidal anti-inflammatory drugs (NSAIDs)', 'Antimalarial drugs', 'Corticosteroids', 'Immunosuppressants', 'Biologics']"
55,tendinitis,Tendinitis is a condition in which the tendons — the thick cords that attach muscles to bone — become inflamed or irritated.,"['Pain', 'Tenderness', 'Stiffness', 'Swelling', 'Weakness']","['Rest', 'Ice', 'Compression', 'Elevation', 'Physical therapy', 'Medications', 'Surgery']"
56,thyroid disease,Thyroid disease is a common problem that can cause symptoms due to over- or under-function of the thyroid gland.,"['Fatigue', 'Weight changes', 'Muscle weakness', 'Hair loss', 'Depression', 'Difficulty sleeping', 'Rapid heartbeat']","['Thyroid hormone replacement therapy', 'Anti-thyroid medications', 'Radioactive iodine', 'Surgery']"
57,ulcerative colitis,Ulcerative colitis is a chronic inflammatory bowel disease (IBD) that causes inflammation and sores (ulcers) in the lining of the large intestine.,"['Abdominal pain', 'Diarrhea', 'Rectal bleeding', 'Urgency to defecate', 'Weight loss', 'Fatigue']","['Anti-inflammatory medications', 'Immunosuppressive medications', 'Biologic therapy', 'Surgery']"
58,varicose veins,"Varicose veins are enlarged, twisted veins that are visible just under the surface of the skin. They usually occur in the legs, but can also form in other parts of the body.","['Swelling', 'Aching pain', 'Heaviness', 'Burning or itching', 'Discoloration', 'Ulcers']","['Compression stockings', 'Sclerotherapy', 'Laser treatment', 'Endovenous ablation therapy', 'Surgery']"
59,alzheimer's disease,"Alzheimer's disease is a progressive brain disorder that affects memory, thinking, and behavior. It is the most common cause of dementia in older adults.","['Memory loss', 'Difficulty completing familiar tasks', 'Language problems', 'Disorientation', 'Mood swings', 'Personality changes', 'Loss of motivation']","['Medications', 'Non-drug treatments (e.g., cognitive stimulation therapy)', 'Supportive therapies', 'Clinical trials']"
60,angina pectoris,Angina pectoris is a condition that causes chest pain or discomfort. It occurs when the heart muscle doesn't get enough blood and oxygen due to narrowed or blocked coronary arteries.,"['Chest pain or discomfort', 'Pain or discomfort in the arms, neck, jaw, shoulder or back', 'Shortness of breath']","['Lifestyle changes such as quitting smoking, eating a healthy diet and exercising regularly', 'Medications to relieve pain and improve blood flow to the heart', 'Medical procedures such as angioplasty or bypass surgery']"
61,aortic stenosis,"Aortic stenosis is a condition that occurs when the aortic valve narrows, restricting blood flow from the heart to the rest of the body.","['Shortness of breath', 'Chest pain or discomfort', 'Fainting or lightheadedness']","['Medications to manage symptoms', 'Balloon valvuloplasty to open the narrowed valve', 'Surgical valve replacement']"
62,aortic valve regurgitation,"Aortic valve regurgitation is a condition that occurs when the aortic valve doesn't close properly, causing blood to leak back into the heart.","['Shortness of breath', 'Fatigue', 'Swollen ankles or feet']","['Medications to manage symptoms', 'Surgical valve repair or replacement']"
63,benign prostatic hyperplasia,"Benign prostatic hyperplasia is a condition that causes the prostate gland to enlarge, leading to urinary problems.","['Frequent urination', 'Difficulty starting or stopping urination', 'Weak urine stream']","['Medications to relax the muscles of the prostate gland and improve urine flow', 'Minimally invasive procedures such as transurethral microwave therapy or laser therapy', 'Surgery to remove the prostate gland']"
64,breast cancer,Breast cancer is a type of cancer that forms in the cells of the breast.,"['A lump or thickening in the breast or underarm', 'Changes in the size or shape of the breast', 'Nipple discharge or retraction']","['Surgery to remove the cancerous tissue', 'Radiation therapy to destroy cancer cells', 'Chemotherapy or targeted therapy to kill cancer cells']"
65,cardiomyopathy,"Cardiomyopathy is a disease that affects the heart muscle, making it harder for the heart to pump blood to the rest of the body.","['Shortness of breath', 'Swelling of the legs, ankles, or feet', 'Fatigue', 'Irregular heartbeat']","['Lifestyle changes (e.g., diet, exercise)', 'Medications (e.g., ACE inhibitors, beta blockers)', 'Implanted devices (e.g., pacemakers, defibrillators)', 'Surgery (e.g., heart transplant)']"
66,carotid artery disease,"Carotid artery disease occurs when the carotid arteries, which supply blood to the brain, become narrowed or blocked by plaque buildup.","['Transient ischemic attacks (mini-strokes)', 'Weakness or numbness on one side of the body', 'Trouble speaking or understanding speech', 'Dizziness']","['Lifestyle changes (e.g., diet, exercise)', 'Medications (e.g., blood thinners, cholesterol-lowering drugs)', 'Endarterectomy (surgical removal of plaque from artery)', 'Angioplasty and stenting (using a balloon to widen the artery and placing a stent to hold it open)']"
67,cerebral aneurysm,"A cerebral aneurysm is a weakened, bulging area in the wall of an artery in the brain that can rupture and cause bleeding in the brain.","['Severe headache', 'Nausea and vomiting', 'Stiff neck', 'Blurred or double vision']","['Observation and monitoring (for small, unruptured aneurysms)', 'Endovascular coiling (placing coils in the aneurysm to block blood flow)', 'Clipping (placing a clip on the base of the aneurysm to prevent it from rupturing)', 'Surgical removal of the aneurysm']"
68,cervical cancer,"Cervical cancer is a type of cancer that occurs in the cells of the cervix, which is the lower part of the uterus that connects to the vagina.","['Abnormal vaginal bleeding', 'Pain during sex', 'Pelvic pain', 'Unusual vaginal discharge']","['Surgery (e.g., hysterectomy, removal of lymph nodes)', 'Radiation therapy', 'Chemotherapy', 'Targeted therapy']"
69,chronic obstructive pulmonary disease,"Chronic obstructive pulmonary disease (COPD) is a chronic lung disease characterized by obstruction of airflow from the lungs, making it difficult to breathe.","['Shortness of breath, especially during physical activities', 'Wheezing', 'Chest tightness', 'Chronic cough', 'Frequent respiratory infections', 'Lack of energy', 'Unintended weight loss']","['Smoking cessation', 'Bronchodilators to relax the muscles around the airways', 'Inhaled corticosteroids to reduce inflammation', 'Pulmonary rehabilitation to improve lung function and overall fitness', 'Supplemental oxygen therapy', 'Surgery in severe cases']"
70,coronary artery disease,Coronary artery disease is a condition in which the arteries that supply blood to the heart become narrowed or blocked due to plaque buildup.,"['Chest pain or discomfort', 'Shortness of breath', 'Heart palpitations', 'Nausea', 'Sweating']","['Lifestyle changes such as a healthy diet and exercise', 'Medications such as aspirin and statins', 'Procedures such as angioplasty or bypass surgery']"
71,deep vein thrombosis,"Deep vein thrombosis is a blood clot that forms in a vein deep inside the body, usually in the leg.","['Swelling in the affected leg', 'Pain or tenderness in the affected leg', 'Warmth in the skin over the affected leg', 'Red or discolored skin over the affected leg', 'Shortness of breath']","['Anticoagulant medications to prevent the clot from getting bigger', 'Thrombolytic therapy to dissolve the clot', 'Compression stockings or devices to help prevent swelling and blood clots']"
72,diverticulitis,Diverticulitis is a condition in which small pouches that form in the wall of the colon become infected or inflamed.,"['Abdominal pain, usually on the left side', 'Fever', 'Nausea', 'Vomiting', 'Constipation or diarrhea']","['Antibiotics to treat the infection', 'Liquid diet or low-fiber diet to help the colon rest', 'Surgery to remove the affected part of the colon in severe cases']"
73,endocarditis,Endocarditis is an infection of the lining of the heart or heart valves.,"['Fever', 'Fatigue', 'Shortness of breath', 'Swelling in the legs, feet, or abdomen', 'Heart murmur']","['Antibiotics to treat the infection', 'Surgery to repair or replace damaged heart valves', 'Anticoagulant medications to prevent blood clots']"
74,esophageal cancer,Esophageal cancer is a type of cancer that begins in the cells that line the esophagus.,"['Difficulty swallowing', 'Unintentional weight loss', 'Chest pain or discomfort', 'Heartburn or indigestion', 'Chronic cough']","['Surgery to remove the cancer', 'Radiation therapy', 'Chemotherapy', 'Palliative care to manage symptoms in advanced cases']"
75,gallbladder cancer,"Gallbladder cancer is a cancerous growth in the gallbladder, a small organ located beneath the liver that stores bile.","['Abdominal pain', 'Jaundice', 'Nausea and vomiting', 'Loss of appetite', 'Weight loss']","['Surgery to remove the gallbladder', 'Chemotherapy', 'Radiation therapy']"
