Disease,Description,Symptoms,Treatments
autism spectrum disorder,"A neurodevelopmental disorder characterized by social, communication, and behavioral challenges that can vary widely in severity.","difficulty with social interactions, delayed or absent language development, repetitive behaviors or routines, narrow interests, sensory sensitivities","behavioral therapy to teach social and communication skills, medications to manage co-occurring conditions, lifestyle changes to support overall health and well-being"
autoimmune disorders,Autoimmune disorders refer to a group of diseases in which the immune system attacks healthy cells in the body by mistake.,"fatigue, joint pain and swelling, skin problems, abdominal pain, digestive problems, fever, swollen glands, muscle pain","anti-inflammatory medications, immunosuppressant drugs, corticosteroids, physical therapy, surgery (in severe cases)"
avian influenza,"Avian influenza, also known as bird flu, is a highly contagious viral infection that primarily affects birds but can also infect humans.","fever, cough, sore throat, muscle aches, fatigue, headache, difficulty breathing, pneumonia, acute respiratory distress syndrome, multi-organ failure","antiviral drugs, supportive care, vaccines (for birds)"
bacterial meningitis,"Bacterial meningitis is a serious infection of the meninges, which are the protective membranes that surround the brain and spinal cord.","fever, headache, stiff neck, nausea and vomiting, sensitivity to light, confusion, seizures, coma","antibiotics, corticosteroids, supportive care"
benign prostatic hyperplasia,"Benign prostatic hyperplasia is a condition that causes the prostate gland to enlarge, leading to urinary problems.","frequent urination, difficulty starting or stopping urination, weak urine stream","medications to relax the muscles of the prostate gland and improve urine flow, minimally invasive procedures such as transurethral microwave therapy or laser therapy, surgery to remove the prostate gland"
bipolar disorder,"Bipolar disorder is a mental illness characterized by extreme mood swings, including episodes of mania and depression.","mood swings, mania (extreme high), depression (extreme low), fatigue, insomnia, irritability, difficulty concentrating, impaired judgment, risk-taking behavior","mood stabilizing medications, antidepressants, antipsychotic medications, psychotherapy, electroconvulsive therapy (ect) (in severe cases)"
blood clotting disorders,"Blood clotting disorders refer to a group of conditions in which the blood clots too easily or doesn't clot enough, leading to an increased risk of bleeding or clotting.","abnormal bleeding, bruising, blood in urine or stool, swelling, pain, redness, warmth in the affected area","blood thinners, anticoagulants, platelet inhibitors, iron supplements (in some cases)"
botulism,"Botulism is a rare but serious bacterial infection caused by the toxin produced by the bacterium Clostridium botulinum, which can lead to paralysis and even death.","double vision, blurred vision, drooping eyelids, slurred speech, difficulty swallowing, dry mouth, muscle weakness, paralysis, respiratory failure","antitoxin, ventilation support, intensive care"
brain tumors,Brain tumors refer to abnormal growths of cells in the brain that can be cancerous (malignant) or non-cancerous (benign).,"headaches, seizures, nausea and vomiting, memory problems, changes in vision, hearing, or speech, difficulty walking or balancing, weakness or numbness on one side of the body","surgery, radiation therapy, chemotherapy, steroids, anti-seizure medications"
breast cancer,Breast cancer is a type of cancer that forms in the cells of the breast.,"a lump or thickening in the breast or underarm, changes in the size or shape of the breast, nipple discharge or retraction","surgery to remove the cancerous tissue, radiation therapy to destroy cancer cells, chemotherapy or targeted therapy to kill cancer cells"
bronchial asthma,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working."," fatigue,  cough,  high fever,  breathlessness,  family history,  mucoid sputum","switch to loose cloothing, take deep breaths, get away from trigger, seek help"
bronchitis,"Bronchitis is an inflammation of the lining of the bronchial tubes, which carry air to and from the lungs.","persistent cough, mucus production, wheezing, shortness of breath, chest discomfort","rest and hydration, over-the-counter cough medicine, inhaled bronchodilators, corticosteroids, antibiotics (if bacterial)"
brucellosis,"Brucellosis is a bacterial infection that spreads from animals to people, usually through unpasteurized dairy products or contact with bodily fluids from infected animals.","fever, fatigue, loss of appetite, joint pain, muscle pain, sweating, headache","antibiotics, rest, pain relievers"
bursitis,"Bursitis is an inflammation of the bursae, which are small sacs of fluid that cushion the joints and reduce friction between bones and soft tissues.","joint pain, swelling and redness, stiffness and limited range of motion","rest and ice, anti-inflammatory medication, physical therapy"
campylobacteriosis,"Campylobacteriosis is a bacterial infection that causes diarrhea, abdominal pain, and fever. It is usually contracted through contaminated food, particularly undercooked poultry.","diarrhea, abdominal pain, fever, nausea, vomiting","fluids, antibiotics, rest"
candidiasis,"Candidiasis is a fungal infection caused by the overgrowth of yeast. It can occur in various parts of the body, including the mouth, throat, genitals, and skin.","redness, itching, burning, swelling, white patches on the tongue or inside the mouth, pain during sex, discharge","antifungal medication, topical creams, oral medication"
cardiomyopathy,"Cardiomyopathy is a disease that affects the heart muscle, making it harder for the heart to pump blood to the rest of the body.","shortness of breath, swelling of the legs, ankles, or feet, fatigue, irregular heartbeat","lifestyle changes (e.g., diet, exercise), medications (e.g., ace inhibitors, beta blockers), implanted devices (e.g., pacemakers, defibrillators), surgery (e.g., heart transplant)"
carotid artery disease,"Carotid artery disease occurs when the carotid arteries, which supply blood to the brain, become narrowed or blocked by plaque buildup.","transient ischemic attacks (mini-strokes), weakness or numbness on one side of the body, trouble speaking or understanding speech, dizziness","lifestyle changes (e.g., diet, exercise), medications (e.g., blood thinners, cholesterol-lowering drugs), endarterectomy (surgical removal of plaque from artery), angioplasty and stenting (using a balloon to widen the artery and placing a stent to hold it open)"
cataracts,"Cataracts are a clouding of the eye's natural lens, which can cause blurry vision and eventually blindness if left untreated.","blurred or dimmed vision, difficulty seeing at night, sensitivity to light, frequent changes in eyeglass or contact lens prescription","prescription eyeglasses or contact lenses, surgery to remove and replace the clouded lens"
celiac disease,"Celiac disease is an autoimmune disorder in which the body's immune system attacks the small intestine when gluten is ingested, leading to damage and malabsorption of nutrients.","abdominal pain and bloating, diarrhea or constipation, fatigue, weight loss, iron-deficiency anemia","a gluten-free diet, supplements to correct nutrient deficiencies"
cerebral aneurysm,"A cerebral aneurysm is a weakened, bulging area in the wall of an artery in the brain that can rupture and cause bleeding in the brain.","severe headache, nausea and vomiting, stiff neck, blurred or double vision","observation and monitoring (for small, unruptured aneurysms), endovascular coiling (placing coils in the aneurysm to block blood flow), clipping (placing a clip on the base of the aneurysm to prevent it from rupturing), surgical removal of the aneurysm"
cerebral palsy,"Cerebral palsy is a group of disorders that affect movement and muscle tone or posture. It is caused by damage that occurs to the immature brain as it develops, most often before birth.","muscle stiffness, muscle weakness, lack of muscle coordination, tremors, difficulty with fine motor skills, difficulty with gross motor skills, difficulty with swallowing or speaking","physical therapy, occupational therapy, speech therapy, medications for muscle spasticity or seizures, surgery in some cases"
cervical cancer,"Cervical cancer is a type of cancer that occurs in the cells of the cervix, which is the lower part of the uterus that connects to the vagina.","abnormal vaginal bleeding, pain during sex, pelvic pain, unusual vaginal discharge","surgery (e.g., hysterectomy, removal of lymph nodes), radiation therapy, chemotherapy, targeted therapy"
cervical spondylosis,"Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs)."," back pain,  weakness in limbs,  neck pain,  dizziness,  loss of balance","use heating pad or cold pack, exercise, take otc pain reliver, consult doctor"
chagas disease,"Chagas disease is a parasitic infection caused by the protozoan Trypanosoma cruzi. It is primarily found in Latin America, where it is transmitted to humans through the bite of infected triatomine bugs.","fever, fatigue, body aches, swollen lymph nodes, headache, enlarged liver or spleen, heart palpitations","antiparasitic medication, symptomatic treatment"
chicken pox,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters.","itching,  skin rash,  fatigue,  lethargy,  high fever,  headache,  loss of appetite,  mild fever,  swelled lymph nodes,  malaise,  red spots over body","use neem in bathing , consume neem leaves, take vaccine, avoid public places"
chickenpox,Chickenpox is a highly contagious viral infection that causes an itchy rash and blisters. It is primarily spread through direct contact with an infected person or through airborne transmission.,"fever, fatigue, loss of appetite, headache, itchy rash, blisters, body aches","antiviral medication, symptomatic treatment"
chlamydia,A common sexually transmitted infection caused by the bacterium Chlamydia trachomatis.,"painful urination, abnormal vaginal discharge, pain during sex","antibiotics, pain relievers, abstaining from sexual activity"
cholecystitis,"Cholecystitis is an inflammation of the gallbladder, which is a small organ located near the liver that stores bile.","abdominal pain, nausea and vomiting, fever and chills","antibiotics, pain medication, surgery to remove the gallbladder in severe cases"
cholera,An acute diarrheal illness caused by the bacterium Vibrio cholerae.,"profuse watery diarrhea, vomiting, dehydration","rehydration therapy, antibiotics, zinc supplements"
chronic bronchitis,Chronic bronchitis is a type of chronic obstructive pulmonary disease (COPD) that causes inflammation and narrowing of the airways in the lungs.,"persistent cough, shortness of breath, chest tightness","bronchodilators, corticosteroids, oxygen therapy in severe cases"
chronic cholestasis,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases","itching,  vomiting,  yellowish skin,  nausea,  loss of appetite,  abdominal pain,  yellowing of eyes","cold baths, anti itch medicine, consult doctor, eat healthy"
chronic kidney disease,Chronic kidney disease (CKD) is a condition characterized by a gradual loss of kidney function over time. It can lead to kidney failure if left untreated.,"fatigue, weakness, loss of appetite, swelling in the legs, difficulty sleeping, changes in urination (e.g., frequency, color, or smell)","medications to control blood pressure and cholesterol levels, dietary changes to manage potassium, sodium, and protein intake, dialysis or kidney transplant in severe cases"
chronic obstructive pulmonary disease,"Chronic obstructive pulmonary disease (COPD) is a chronic lung disease characterized by obstruction of airflow from the lungs, making it difficult to breathe.","shortness of breath, especially during physical activities, wheezing, chest tightness, chronic cough, frequent respiratory infections, lack of energy, unintended weight loss","smoking cessation, bronchodilators to relax the muscles around the airways, inhaled corticosteroids to reduce inflammation, pulmonary rehabilitation to improve lung function and overall fitness, supplemental oxygen therapy, surgery in severe cases"
cirrhosis,"Cirrhosis is a late stage of liver disease in which healthy liver tissue is replaced with scar tissue, impairing liver function and leading to a range of symptoms.","fatigue and weakness, loss of appetite and weight loss, nausea and vomiting, abdominal swelling and pain, jaundice (yellowing of the skin and eyes)","treatment of underlying causes (e.g., alcohol cessation, hepatitis treatment), medications to manage symptoms, liver transplant in severe cases"
cirrhosis of the liver,"Cirrhosis is a late stage of scarring of the liver caused by long-term liver damage. It can lead to liver failure and other complications such as bleeding, infections, and liver cancer.","fatigue, weakness, loss of appetite, nausea and vomiting, abdominal pain and swelling, jaundice, itchy skin, easy bruising and bleeding, spider-like blood vessels on the skin","medications to manage complications, dietary changes to limit salt and fluid intake, alcohol abstinence, liver transplant"
coccidioidomycosis,A fungal infection caused by inhaling spores of the Coccidioides fungus.,"cough, fever, chest pain","antifungal medications, rest, pain relievers"
colitis,"Colitis is an inflammation of the colon, which can cause a range of symptoms depending on the underlying cause.","abdominal pain and cramping, diarrhea or constipation, rectal bleeding, urgent bowel movements, fever and fatigue","anti-inflammatory medications, immunosuppressants, surgery to remove the colon in severe cases"
colorectal cancer,"Colorectal cancer is a type of cancer that affects the colon and/or rectum. It often starts as a polyp, which can eventually become cancerous if left untreated.","abdominal pain, blood in the stool, changes in bowel habits (e.g., diarrhea or constipation), unintended weight loss, fatigue","surgery to remove the cancerous tissue, radiation therapy, chemotherapy, immunotherapy"
common cold,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.","runny nose, sore throat, cough","rest, fluids, over-the-counter medications for symptom relief"
congenital heart defects,"Congenital heart defects are abnormalities in the heart's structure that are present at birth. They can affect the heart's valves, chambers, or blood vessels.","blue or gray skin color, shortness of breath, fatigue, swelling in the legs, abdomen, or areas around the eyes, delayed growth and development (in infants and children)","surgery to repair the heart defect, medications to control symptoms, heart transplant in severe cases"
congestive heart failure,"Congestive heart failure occurs when the heart is unable to pump enough blood to meet the body's needs. It can lead to symptoms such as shortness of breath, fatigue, and swelling in the legs and ankles.","shortness of breath, fatigue, swelling in the legs, ankles, or feet, rapid or irregular heartbeat, chest pain, persistent cough or wheezing, lack of appetite, confusion or impaired thinking","medications to manage symptoms and improve heart function, lifestyle changes such as diet and exercise, implantation of devices such as pacemakers or defibrillators, heart transplant"
conjunctivitis,"Conjunctivitis, also known as pink eye, is an inflammation of the conjunctiva, which is the thin, clear tissue that lines the inside of the eyelid and covers the white part of the eye.","redness in the white of the eye or inner eyelid, increased amount of tears, thick yellow discharge that crusts over the eyelashes, especially after sleep, itchy or burning eyes, blurred vision, sensitivity to light","artificial tears, antihistamine eye drops, topical corticosteroids, cold compresses, warm compresses"
coronary artery disease,Coronary artery disease is a condition in which the arteries that supply blood to the heart become narrowed or blocked due to plaque buildup.,"chest pain or discomfort, shortness of breath, heart palpitations, nausea, sweating","lifestyle changes such as a healthy diet and exercise, medications such as aspirin and statins, procedures such as angioplasty or bypass surgery"
covid-19,"COVID-19 is the disease caused by a new coronavirus called SARS-CoV-2. It is a kind of virus that causes an infection in your nose, sinuses, or upper throat. The most recently discovered coronavirus causes coronavirus disease COVID-19.","fever, dry cough, fatigue, loss of taste or smell, nasal congestion, conjunctivitis (also known as red eyes), sore throat, headache, muscle or joint pain, different types of skin rash, nausea or vomiting, diarrhea, chills or dizziness","getting enough rest, staying well hydrated, and taking medications to relieve fever and aches and pains., communication with a treating physician and promptly report in case of any worsening., fda approved medicines like remdesivir, paxlovid, molnupiravir, tocilizumab"
creutzfeldt-jakob disease,"A rare and fatal brain disorder caused by prions, abnormal proteins that damage brain cells.","rapidly progressive dementia, muscle stiffness, difficulty with coordination and movement",there is no cure or treatment that can slow the progression of the disease
crohn's disease,"Crohn's disease is a type of inflammatory bowel disease that can affect any part of the gastrointestinal tract from mouth to anus. Symptoms include abdominal pain, diarrhea, and weight loss.","abdominal pain and cramping, diarrhea, blood in your stool, reduced appetite and weight loss, fatigue, fever","anti-inflammatory drugs, immune system suppressors, antibiotics, nutrition therapy, surgery"
cryptococcosis,"Cryptococcosis is a fungal infection caused by Cryptococcus neoformans or Cryptococcus gattii. It can affect the lungs, brain, and other parts of the body.","fever, headache, nausea and vomiting, stiff neck, sensitivity to light, confusion, shortness of breath","antifungal medications, amphotericin b, flucytosine, fluconazole"
cryptosporidiosis,"Cryptosporidiosis is a parasitic infection caused by the Cryptosporidium parasite. It can cause diarrhea, stomach cramps, nausea, and vomiting.","diarrhea, stomach cramps, nausea, vomiting, fever, dehydration","antiparasitic medications, nitazoxanide, azithromycin, rehydration therapy"
cystic fibrosis,"Cystic fibrosis is an inherited disorder that causes severe damage to the lungs, digestive system and other organs in the body. It affects the cells that produce mucus, sweat and digestive juices.","persistent cough with thick mucus, wheezing or shortness of breath, poor growth or weight gain, frequent respiratory infections, salty-tasting skin, difficulty with bowel movements","airway clearance techniques, inhaled medications, oral pancreatic enzyme supplements, antibiotics, nutrition therapy"
cytomegalovirus infection,"Cytomegalovirus (CMV) is a common virus that can infect people of all ages. Most people with CMV have no symptoms, but it can cause serious problems in people with weakened immune systems.","fever, fatigue, sore throat, swollen glands, muscle aches, loss of appetite, jaundice, pneumonia, encephalitis","antiviral medications, ganciclovir, valganciclovir, foscarnet"
deep vein thrombosis,"Deep vein thrombosis is a blood clot that forms in a vein deep inside the body, usually in the leg.","swelling in the affected leg, pain or tenderness in the affected leg, warmth in the skin over the affected leg, red or discolored skin over the affected leg, shortness of breath","anticoagulant medications to prevent the clot from getting bigger, thrombolytic therapy to dissolve the clot, compression stockings or devices to help prevent swelling and blood clots"
dementia,Dementia is a general term for a decline in mental ability severe enough to interfere with daily life. Memory loss is an example. Alzheimer's is the most common type of dementia.,"memory loss, difficulty communicating, inability to focus or pay attention, poor reasoning or judgment, confusion and disorientation, mood changes","medications to treat cognitive symptoms, antidepressants, antipsychotics, occupational therapy, speech therapy"
dengue,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever."," skin rash,  chills,  joint pain,  vomiting,  fatigue,  high fever,  headache,  nausea,  loss of appetite,  pain behind the eyes,  back pain,  muscle pain,  red spots over body","drink papaya leaf juice, avoid fatty spicy food, keep mosquitos away, keep hydrated"
dengue fever,"Dengue fever is a viral infection transmitted by mosquitoes. It can cause a high fever, severe headache, joint and muscle pain, and a rash.","high fever, severe headache, joint and muscle pain, nausea and vomiting, rash, pain behind the eyes, fatigue","pain relievers, fluid replacement therapy, rest, preventing dehydration"
dental caries,"Dental caries, also known as tooth decay, is a common dental problem caused by the breakdown of tooth enamel by bacteria. It can lead to pain, infection, and tooth loss if left untreated.","toothache or pain when eating or drinking, sensitivity to hot or cold temperatures, visible holes or pits in the teeth, dark spots on the teeth, bad breath or a bad taste in the mouth","fillings to repair cavities, crowns to cover damaged teeth, root canal therapy to treat infections, tooth extraction in severe cases"
depression,"Depression is a mood disorder that can affect a person's thoughts, feelings, and behaviors. It can lead to feelings of sadness, hopelessness, and loss of interest in daily activities.","persistent feelings of sadness, anxiety, or emptiness, loss of interest in activities that were once enjoyable, difficulty sleeping or oversleeping, changes in appetite or weight, fatigue, difficulty concentrating or making decisions","antidepressant medications, psychotherapy, brain stimulation therapies (e.g., electroconvulsive therapy or transcranial magnetic stimulation)"
diabetes,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy."," fatigue,  weight loss,  restlessness,  lethargy,  irregular sugar level,  blurred and distorted vision,  obesity,  excessive hunger,  increased appetite,  polyuria","have balanced diet, exercise, consult doctor, follow up"
diabetes mellitus,Diabetes mellitus is a chronic metabolic disorder characterized by high blood sugar levels due to the body's inability to produce or use insulin effectively.,"increased thirst, frequent urination, extreme hunger, unexplained weight loss, fatigue, blurred vision, slow-healing sores or frequent infections, tingling or numbness in the hands or feet, dry, itchy skin","lifestyle changes (e.g. diet, exercise), oral medications (e.g. metformin, sulfonylureas), insulin therapy, blood sugar monitoring, regular check-ups with a healthcare provider"
dimorphic hemorrhoids (piles),"Hemorrhoids, also spelled haemorrhoids, are vascular structures in the anal canal."," constipation,  pain during bowel movements,  pain in anal region,  bloody stool,  irritation in anus","avoid fatty spicy food, consume witch hazel, warm bath with epsom salt, consume alovera juice"
diphtheria,Diphtheria is a bacterial infection that can cause severe respiratory and cardiac problems. It is spread through contact with an infected person or object.,"sore throat, fever, swollen glands in the neck, weakness and fatigue, difficulty breathing, nasal discharge, formation of a thick grayish coating in the throat and nose","antibiotics, diphtheria antitoxin, supportive care"
diverticulitis,Diverticulitis is a condition in which small pouches that form in the wall of the colon become infected or inflamed.,"abdominal pain, usually on the left side, fever, nausea, vomiting, constipation or diarrhea","antibiotics to treat the infection, liquid diet or low-fiber diet to help the colon rest, surgery to remove the affected part of the colon in severe cases"
down syndrome,"Down Syndrome is a genetic disorder that causes developmental and intellectual delays, as well as physical characteristics such as low muscle tone, upward slanting eyes, and a flat nasal bridge.","intellectual disability, delayed developmental milestones, hypotonia (low muscle tone), upward slanting eyes, flat nasal bridge, short stature, heart defects","early intervention and special education, speech and physical therapy, treatment of associated health issues"
drug reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching,  skin rash,  stomach pain,  burning micturition,  spotting  urination","stop irritation, consult nearest hospital, stop taking drug, follow up"
e. coli infection,E. coli infection is a type of foodborne illness caused by consuming food or water contaminated with the bacteria E. coli.,"abdominal pain, diarrhea, nausea, vomiting, fatigue, fever, bloody stool","supportive care, fluid replacement"
ebola virus disease,Ebola virus disease (EVD) is a rare but severe illness caused by the Ebola virus.,"fever, headache, muscle pain, fatigue, diarrhea, vomiting, abdominal pain, unexplained hemorrhage","supportive care, experimental treatments"
eczema,"Eczema is a chronic skin condition characterized by itchy, inflamed patches of skin. The cause of eczema is unknown, but it is thought to be related to an overactive immune system and a defective skin barrier.","itchy, red, and dry skin, thickened, cracked, or scaly skin, small bumps that may leak fluid, sensitive skin, discoloration of the skin","moisturizers and topical steroids, avoiding triggers (such as certain fabrics, soaps, or foods), antihistamines for itching, immunosuppressants for severe cases"
ehrlichiosis,Ehrlichiosis is a bacterial illness transmitted by ticks that causes flu-like symptoms.,"fever, headache, muscle aches, fatigue, nausea, vomiting, diarrhea, cough, joint pain, confusion","doxycycline, other antibiotics"
emphysema,"Emphysema is a lung disease that damages the air sacs in the lungs. This damage makes it harder to breathe and can lead to shortness of breath, coughing, and wheezing.","shortness of breath, especially during physical activities, wheezing, chest tightness, chronic cough, lack of energy","quitting smoking, medications such as bronchodilators, inhaled steroids, or oxygen therapy, pulmonary rehabilitation, lung volume reduction surgery, lung transplant"
encephalitis,"Encephalitis is inflammation of the brain, usually caused by a viral infection.","fever, headache, stiff neck, confusion, seizures, muscle weakness, personality changes, loss of consciousness","antiviral medications, steroids, supportive care"
endocarditis,Endocarditis is an infection of the lining of the heart or heart valves.,"fever, fatigue, shortness of breath, swelling in the legs, feet, or abdomen, heart murmur","antibiotics to treat the infection, surgery to repair or replace damaged heart valves, anticoagulant medications to prevent blood clots"
endometriosis,"Endometriosis is a condition where the tissue that normally lines the inside of the uterus grows outside of it, leading to pain and discomfort.","painful periods, pain during intercourse, painful bowel movements or urination during menstruation, excessive bleeding, infertility","pain relievers such as nonsteroidal anti-inflammatory drugs (nsaids), hormone therapy, surgery to remove endometrial tissue, assisted reproductive technologies (art)"
enterovirus infection,Enterovirus infection is a viral illness that can cause a range of symptoms from mild to severe.,"fever, headache, muscle aches, fatigue, rash, sore throat, runny nose, cough, diarrhea, vomiting, meningitis, encephalitis","supportive care, antiviral medications, pain and fever relief"
epilepsy,"Epilepsy is a neurological disorder that causes seizures, which can range from mild to severe and affect different parts of the brain.","seizures, temporary confusion, staring spells, loss of consciousness, psychic symptoms","antiepileptic drugs (aeds), surgery to remove the part of the brain causing seizures, vagus nerve stimulation (vns), ketogenic diet"
erectile dysfunction,Erectile dysfunction is the inability to get or maintain an erection firm enough for sexual intercourse.,"difficulty getting an erection, difficulty maintaining an erection, reduced sexual desire","oral medications such as sildenafil (viagra), tadalafil (cialis), or vardenafil (levitra), injections into the penis, penile implants"
erysipelas,"Erysipelas is a bacterial skin infection that usually affects the legs, but can also occur on the face, arms and other parts of the body. It is caused by group A streptococcus bacteria and is characterized by redness, warmth, and swelling of the affected area.","redness, warmth, and swelling of the skin, fever, chills, fatigue, pain and tenderness in the affected area, blisters and sores may develop","antibiotics, such as penicillin or erythromycin, pain relievers, such as acetaminophen or ibuprofen, elevating the affected limb to reduce swelling, resting and staying hydrated"
